Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Année édition
Ajax,19,6.0,110,60,44,50,16,63,104,60.6,41,62,15,47,53,163,109,5,2022-2023
Atlético Madrid,22,6.0,85,48,38,30,17,48,79,60.8,31,81,21,60,42,127,79,2,2022-2023
Barcelona,26,6.0,94,58,31,44,19,38,69,55.1,31,60,20,40,51,145,58,3,2022-2023
Bayern Munich,24,10.0,189,118,94,69,26,80,175,45.7,95,146,34,112,120,309,131,5,2022-2023
Benfica,24,10.0,189,105,80,78,31,82,189,43.4,107,126,33,93,123,312,160,1,2022-2023
Celtic,22,6.0,89,45,35,36,18,41,81,50.6,40,78,27,51,65,154,84,2,2022-2023
Chelsea,26,10.0,175,104,81,68,26,87,174,50.0,87,136,30,106,93,268,141,1,2022-2023
Club Brugge,25,8.0,113,64,58,40,15,47,98,48.0,51,84,30,54,72,185,161,4,2022-2023
Dinamo Zagreb,20,6.0,105,54,60,36,9,50,99,50.5,49,73,31,42,66,171,127,1,2022-2023
Dortmund,26,8.0,111,67,53,42,16,50,116,43.1,66,106,31,75,89,200,136,4,2022-2023
Eint Frankfurt,22,8.0,154,88,75,66,13,66,154,42.9,88,99,17,82,85,239,129,3,2022-2023
FC Copenhagen,25,6.0,88,46,51,23,14,40,82,48.8,42,77,25,52,83,171,104,0,2022-2023
Inter,22,13.0,230,138,130,73,27,103,227,45.4,124,149,46,103,123,353,276,1,2022-2023
Juventus,26,6.0,96,48,47,35,14,49,94,52.1,45,77,21,56,51,147,78,0,2022-2023
Leverkusen,20,6.0,103,66,41,45,17,53,86,61.6,33,65,19,46,43,146,119,2,2022-2023
Liverpool,25,8.0,141,81,58,64,19,67,125,53.6,58,83,20,63,60,201,76,3,2022-2023
Maccabi Haifa,20,6.0,124,73,76,32,16,52,110,47.3,58,55,18,37,53,177,104,0,2022-2023
Manchester City,23,13.0,185,112,68,80,37,88,177,49.7,89,104,24,80,84,269,126,3,2022-2023
Marseille,19,6.0,107,58,40,51,16,40,69,58.0,29,54,20,34,68,175,57,1,2022-2023
Milan,23,12.0,214,123,111,80,23,89,183,48.6,94,129,46,83,103,317,187,4,2022-2023
Napoli,22,10.0,173,104,79,64,30,78,141,55.3,63,95,29,66,88,261,160,4,2022-2023
Paris S-G,21,8.0,117,77,58,45,14,59,139,42.4,80,77,23,54,62,179,97,3,2022-2023
Porto,24,8.0,136,88,76,45,15,57,127,44.9,70,85,23,62,77,213,152,1,2022-2023
Rangers,22,6.0,89,45,38,42,9,39,91,42.9,52,63,24,39,58,147,105,3,2022-2023
RB Leipzig,22,8.0,136,79,62,57,17,69,152,45.4,83,80,17,63,68,204,108,6,2022-2023
RB Salzburg,19,6.0,154,85,77,54,23,70,120,58.3,50,93,23,70,51,205,118,3,2022-2023
Real Madrid,22,12.0,173,98,85,68,20,85,178,47.8,93,133,34,99,111,284,179,1,2022-2023
Sevilla,24,6.0,82,49,38,30,14,43,93,46.2,50,64,19,45,49,131,90,6,2022-2023
Shakhtar,20,6.0,106,52,68,30,8,45,99,45.5,54,57,17,40,65,171,156,5,2022-2023
Sporting CP,25,6.0,127,75,70,49,8,56,89,62.9,33,62,15,47,50,177,127,4,2022-2023
Tottenham,25,8.0,153,88,56,73,24,71,143,49.7,72,75,28,47,71,224,132,5,2022-2023
Viktoria Plzeň,22,6.0,95,41,52,28,15,41,98,41.8,57,61,20,41,67,162,128,0,2022-2023
Ajax,21,8.0,145,95,49,69,27,55,133,41.4,78,94,18,76,63,208,102,3,2021-2022
Atalanta,21,6.0,115,66,57,33,25,60,102,58.8,42,65,18,47,74,189,88,4,2021-2022
Atlético Madrid,22,10.0,176,107,93,67,16,92,218,42.2,126,86,27,59,110,286,180,1,2021-2022
Barcelona,23,6.0,101,61,37,46,18,52,116,44.8,64,47,11,36,63,164,55,1,2021-2022
Bayern Munich,24,10.0,172,98,70,70,32,72,168,42.9,96,102,21,81,112,284,99,3,2021-2022
Benfica,24,10.0,156,84,103,47,6,82,186,44.1,104,104,31,73,107,263,215,1,2021-2022
Beşiktaş,26,6.0,124,80,79,37,8,57,145,39.3,88,86,24,62,83,207,98,0,2021-2022
Chelsea,24,10.3,168,95,59,71,38,69,141,48.9,72,111,19,92,84,252,94,5,2021-2022
Club Brugge,21,6.0,110,61,59,37,14,47,105,44.8,58,74,23,51,90,200,81,0,2021-2022
Dortmund,23,6.0,108,66,51,45,12,53,119,44.5,66,76,14,62,61,169,84,1,2021-2022
Dynamo Kyiv,23,6.0,105,54,63,34,8,45,133,33.8,88,66,21,45,73,178,113,4,2021-2022
Inter,22,8.0,135,76,54,55,26,56,125,44.8,69,81,26,55,84,219,105,0,2021-2022
Juventus,28,8.0,141,84,74,42,25,51,117,43.6,66,86,29,57,93,234,117,2,2021-2022
Lille,23,8.0,149,86,80,51,18,86,154,55.8,68,97,20,77,57,206,127,3,2021-2022
Liverpool,28,13.0,215,127,78,91,46,105,217,48.4,112,136,15,121,139,354,156,2,2021-2022
Malmö,21,6.0,65,41,40,21,4,33,96,34.4,63,62,18,44,68,133,123,1,2021-2022
Manchester City,26,12.3,185,99,85,71,29,99,199,49.7,100,113,20,93,140,325,104,2,2021-2022
Manchester Utd,31,8.0,131,74,54,58,19,63,120,52.5,57,87,26,61,85,216,124,7,2021-2022
Milan,23,6.0,123,65,66,50,7,57,120,47.5,63,78,29,49,58,181,126,6,2021-2022
Paris S-G,21,8.0,126,63,78,35,13,57,137,41.6,80,102,35,67,55,181,166,5,2021-2022
Porto,22,6.0,108,67,53,39,16,47,124,37.9,77,72,16,56,53,161,106,4,2021-2022
RB Leipzig,23,6.0,100,52,44,36,20,44,126,34.9,82,78,21,57,70,170,81,1,2021-2022
RB Salzburg,21,8.0,175,94,82,68,25,98,225,43.6,127,100,26,74,96,271,125,1,2021-2022
Real Madrid,25,13.7,236,141,115,87,34,104,247,42.1,143,147,55,92,132,368,203,4,2021-2022
