Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
Ajax,1,6,6,540,6.0,16,2.67,37,21,62.2,2,0,4,1,16.7,2,2,0,0,0.0,2022-2023
Atlético Madrid,2,6,6,540,6.0,9,1.50,27,18,70.4,1,2,3,1,16.7,1,1,0,0,0.0,2022-2023
Barcelona,2,6,6,540,6.0,12,2.00,30,18,63.3,2,1,3,0,0.0,1,1,0,0,0.0,2022-2023
Bayern Munich,3,10,10,900,10.0,6,0.60,36,30,83.3,8,1,1,7,70.0,1,0,0,1,,2022-2023
Benfica,1,10,10,900,10.0,13,1.30,31,18,67.7,6,3,1,2,20.0,3,3,0,0,0.0,2022-2023
Celtic,1,6,6,540,6.0,15,2.50,31,16,58.1,0,2,4,0,0.0,2,2,0,0,0.0,2022-2023
Chelsea,2,10,10,900,10.0,9,0.90,37,28,75.7,5,1,4,3,30.0,0,0,0,0,,2022-2023
Club Brugge,1,8,8,720,8.0,11,1.37,45,34,80.0,3,2,3,5,62.5,3,2,0,1,0.0,2022-2023
Dinamo Zagreb,1,6,6,540,6.0,11,1.83,35,25,77.1,1,1,4,1,16.7,3,3,0,0,0.0,2022-2023
Dortmund,2,8,8,720,8.0,7,0.87,36,28,83.3,3,3,2,3,37.5,2,1,1,0,50.0,2022-2023
Eint Frankfurt,1,8,8,720,8.0,13,1.62,41,27,73.2,3,1,4,2,25.0,4,2,1,1,33.3,2022-2023
FC Copenhagen,2,6,6,540,6.0,12,2.00,38,26,71.1,0,3,3,2,33.3,2,1,1,0,50.0,2022-2023
Inter,1,13,13,"1,170",13.0,11,0.85,57,47,80.7,7,3,3,8,61.5,0,0,0,0,,2022-2023
Juventus,2,6,6,540,6.0,13,2.17,32,19,65.6,1,0,5,0,0.0,2,2,0,0,0.0,2022-2023
Leverkusen,1,6,6,540,6.0,8,1.33,24,15,75.0,1,2,3,2,33.3,3,2,1,0,33.3,2022-2023
Liverpool,1,8,8,720,8.0,12,1.50,28,15,60.7,5,0,3,3,37.5,2,1,1,0,50.0,2022-2023
Maccabi Haifa,1,6,6,540,6.0,21,3.50,42,22,50.0,1,0,5,1,16.7,0,0,0,0,,2022-2023
Manchester City,2,13,13,"1,170",13.0,5,0.38,37,32,89.2,8,5,0,8,61.5,1,1,0,0,0.0,2022-2023
Marseille,1,6,6,540,6.0,8,1.33,20,12,60.0,2,0,4,1,16.7,0,0,0,0,,2022-2023
Milan,2,12,12,"1,080",12.0,11,0.92,52,40,80.8,5,3,4,5,41.7,2,1,1,0,50.0,2022-2023
Napoli,1,10,10,900,10.0,8,0.80,30,21,76.7,7,1,2,4,40.0,2,1,1,0,50.0,2022-2023
Paris S-G,1,8,8,720,8.0,10,1.25,35,26,74.3,4,2,2,0,0.0,1,1,0,0,0.0,2022-2023
Porto,1,8,8,720,8.0,8,1.00,38,28,81.6,4,1,3,4,50.0,4,1,3,0,75.0,2022-2023
Rangers,2,6,6,540,6.0,22,3.67,51,28,60.8,0,0,6,0,0.0,3,2,1,0,33.3,2022-2023
RB Leipzig,2,8,8,720,8.0,17,2.12,39,22,61.5,4,1,3,2,25.0,2,2,0,0,0.0,2022-2023
RB Salzburg,1,6,6,540,6.0,9,1.50,30,21,70.0,1,3,2,1,16.7,0,0,0,0,,2022-2023
Real Madrid,2,12,12,"1,080",12.0,13,1.08,58,44,77.6,8,2,2,5,41.7,1,0,1,0,100.0,2022-2023
Sevilla,2,6,6,540,6.0,12,2.00,30,18,60.0,1,2,3,2,33.3,0,0,0,0,,2022-2023
Shakhtar,1,6,6,540,6.0,10,1.67,38,30,73.7,1,3,2,0,0.0,0,0,0,0,,2022-2023
Sporting CP,2,6,6,537,6.0,9,1.51,29,20,75.9,2,1,3,2,33.3,2,2,0,0,0.0,2022-2023
Tottenham,2,8,8,720,8.0,7,0.87,30,23,76.7,3,3,2,3,37.5,0,0,0,0,,2022-2023
Viktoria Plzeň,2,6,6,540,6.0,24,4.00,55,31,56.4,0,0,6,0,0.0,0,0,0,0,,2022-2023
Ajax,2,8,8,720,8.0,8,1.00,22,15,72.7,6,1,1,2,25.0,2,2,0,0,0.0,2021-2022
Atalanta,1,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,,2021-2022
Atlético Madrid,1,10,10,900,10.0,10,1.00,36,26,77.8,3,3,4,3,30.0,2,2,0,0,0.0,2021-2022
Barcelona,1,6,6,540,6.0,9,1.50,25,16,68.0,2,1,3,3,50.0,1,1,0,0,0.0,2021-2022
Bayern Munich,2,10,10,900,10.0,7,0.70,25,18,72.0,7,2,1,4,40.0,0,0,0,0,,2021-2022
Benfica,1,10,10,900,10.0,17,1.70,52,35,67.3,3,4,3,5,50.0,1,0,1,0,100.0,2021-2022
Beşiktaş,2,6,6,540,6.0,19,3.17,43,24,62.8,0,0,6,0,0.0,3,3,0,0,0.0,2021-2022
Chelsea,2,10,10,930,10.3,10,0.97,23,13,60.9,7,1,2,5,50.0,1,1,0,0,0.0,2021-2022
Club Brugge,1,6,6,540,6.0,20,3.33,47,27,63.8,1,1,4,0,0.0,3,3,0,0,0.0,2021-2022
Dortmund,1,6,6,540,6.0,11,1.83,23,12,52.2,3,0,3,2,33.3,1,0,1,0,100.0,2021-2022
Dynamo Kyiv,2,6,6,540,6.0,11,1.83,28,17,64.3,0,1,5,1,16.7,1,1,0,0,0.0,2021-2022
Inter,1,8,8,720,8.0,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,,2021-2022
Juventus,2,8,8,720,8.0,10,1.25,24,15,66.7,5,1,2,4,50.0,2,2,0,0,0.0,2021-2022
Lille,2,8,8,720,8.0,8,1.00,24,16,75.0,3,2,3,3,37.5,2,2,0,0,0.0,2021-2022
Liverpool,1,13,13,"1,170",13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,,2021-2022
Malmö,2,6,6,540,6.0,14,2.33,44,29,77.3,0,1,5,0,0.0,5,4,1,0,20.0,2021-2022
Manchester City,3,12,12,"1,110",12.3,16,1.30,34,19,58.8,7,2,3,4,33.3,2,2,0,0,0.0,2021-2022
Manchester Utd,3,8,8,720,8.0,10,1.25,33,23,69.7,3,3,2,1,12.5,0,0,0,0,,2021-2022
Milan,2,6,6,540,6.0,9,1.50,29,20,72.4,1,1,4,1,16.7,2,1,1,0,50.0,2021-2022
Paris S-G,2,8,8,720,8.0,11,1.37,41,29,75.6,4,2,2,2,25.0,2,1,1,0,50.0,2021-2022
Porto,1,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,,2021-2022
RB Leipzig,2,6,6,540,6.0,14,2.33,27,14,55.6,2,1,3,1,16.7,3,2,0,1,0.0,2021-2022
RB Salzburg,1,8,8,720,8.0,14,1.75,30,16,63.3,3,2,3,1,12.5,3,3,0,0,0.0,2021-2022
Real Madrid,1,13,13,"1,230",13.7,14,1.02,72,57,80.6,9,0,4,5,38.5,1,0,1,0,100.0,2021-2022
Sevilla,1,6,6,540,6.0,5,0.83,19,14,84.2,1,3,2,2,33.3,4,2,0,2,0.0,2021-2022
Shakhtar,3,6,6,540,6.0,12,2.00,35,24,65.7,0,2,4,1,16.7,0,0,0,0,,2021-2022
Sheriff Tiraspol,2,6,6,540,6.0,11,1.83,43,32,76.7,2,1,3,1,16.7,1,1,0,0,0.0,2021-2022
Sporting CP,2,8,8,720,8.0,17,2.12,36,19,55.6,3,1,4,2,25.0,1,1,0,0,0.0,2021-2022
Villarreal,1,12,12,"1,080",12.0,16,1.33,55,40,70.9,5,3,4,3,25.0,0,0,0,0,,2021-2022
Wolfsburg,2,6,6,540,6.0,10,1.67,33,23,72.7,1,2,3,1,16.7,1,1,0,0,0.0,2021-2022
Young Boys,2,6,6,540,6.0,12,2.00,32,20,62.5,1,2,3,0,0.0,0,0,0,0,,2021-2022
