Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Année édition
1,Antonio Adán,es ESP,GK,Sporting CP,35,1987,5,5,382,4.2,5,1.18,21,16,81.0,2,1,2,2,40.0,1,1,0,0,0.0,2022-2023
2,Alisson,br BRA,GK,Liverpool,29,1992,8,8,720,8.0,12,1.50,28,15,60.7,5,0,3,3,37.5,2,1,1,0,50.0,2022-2023
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,9,9,810,9.0,8,0.89,35,27,77.1,4,1,4,3,33.3,0,0,0,0,,2022-2023
4,Janis Blaswich,de GER,GK,RB Leipzig,31,1991,6,5,528,5.9,11,1.87,31,20,71.0,3,1,1,2,40.0,2,2,0,0,0.0,2022-2023
5,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,4,4,360,4.0,12,3.00,26,14,53.8,0,1,3,0,0.0,0,0,0,0,,2022-2023
6,Josh Cohen,us USA,GK,Maccabi Haifa,29,1992,6,6,540,6.0,21,3.50,42,22,50.0,1,0,5,1,16.7,0,0,0,0,,2022-2023
7,Diogo Costa,pt POR,GK,Porto,22,1999,8,8,720,8.0,8,1.00,38,28,81.6,4,1,3,4,50.0,4,1,3,0,75.0,2022-2023
8,Thibaut Courtois,be BEL,GK,Real Madrid,30,1992,10,10,900,10.0,11,1.10,53,41,79.2,7,1,2,5,50.0,1,0,1,0,100.0,2022-2023
9,Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,2,2,180,2.0,0,0.00,4,4,100.0,1,1,0,2,100.0,0,0,0,0,,2022-2023
10,Gianluigi Donnarumma,it ITA,GK,Paris S-G,23,1999,8,8,720,8.0,10,1.25,35,26,74.3,4,2,2,0,0.0,1,1,0,0,0.0,2022-2023
11,Ederson,br BRA,GK,Manchester City,28,1993,11,11,990,11.0,4,0.36,31,27,90.3,7,4,0,7,63.6,1,1,0,0,0.0,2022-2023
12,Fraser Forster,eng ENG,GK,Tottenham,34,1988,2,2,180,2.0,1,0.50,7,6,85.7,0,1,1,1,50.0,0,0,0,0,,2022-2023
13,Kamil Grabara,pl POL,GK,FC Copenhagen,23,1999,4,4,360,4.0,9,2.25,32,23,75.0,0,2,2,1,25.0,2,1,1,0,50.0,2022-2023
14,Ivo Grbić,hr CRO,GK,Atlético Madrid,26,1996,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,2022-2023
15,Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,3,3,192,2.1,6,2.81,8,2,25.0,1,0,2,0,0.0,0,0,0,0,,2022-2023
