Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Année édition
Ajax,19,6.0,2834,3385,83.7,48341,15879,1278,1395,91.6,1295,1447,89.5,205,396,51.8,9,6.3,6.2,+2.7,53,210,65,15,234,2023
Atlético Madrid,22,6.0,3047,3674,82.9,51306,16783,1518,1661,91.4,1166,1363,85.5,282,475,59.4,3,5.3,4.7,-2.3,65,235,58,19,286,2023
Barcelona,26,6.0,3476,4033,86.2,59907,19062,1623,1796,90.4,1463,1613,90.7,323,444,72.7,10,8.2,10.5,+1.8,71,343,84,18,358,2023
Bayern Munich,24,10.0,5277,6096,86.6,92687,30813,2326,2542,91.5,2380,2622,90.8,482,702,68.7,19,15.5,13.5,+3.5,129,464,106,11,541,2023
Benfica,24,10.0,4832,5740,84.2,82686,26948,2250,2505,89.8,1877,2100,89.4,525,769,68.3,16,12.2,12.5,+3.8,103,373,99,18,455,2023
Celtic,22,6.0,2714,3217,84.4,47286,16001,1132,1275,88.8,1338,1488,89.9,187,300,62.3,1,6.6,7.4,-5.6,63,236,75,24,300,2023
Chelsea,26,10.0,5015,5977,83.9,83375,27690,2517,2768,90.9,1953,2225,87.8,426,693,61.5,7,11.8,13.4,-4.8,115,418,105,16,512,2023
Club Brugge,25,8.0,2998,3805,78.8,57815,20432,1136,1345,84.5,1341,1536,87.3,411,702,58.5,7,5.2,4.1,+1.8,47,193,39,10,239,2023
Dinamo Zagreb,20,6.0,2232,2821,79.1,40331,15054,965,1099,87.8,939,1110,84.6,249,433,57.5,2,3.2,3.3,-1.2,41,129,37,11,194,2023
Dortmund,26,8.0,3388,4123,82.2,57515,19809,1627,1828,89.0,1314,1486,88.4,329,552,59.6,10,8.8,7.3,+1.2,74,227,57,6,300,2023
Eint Frankfurt,22,8.0,2827,3691,76.6,47000,16909,1390,1613,86.2,1148,1409,81.5,215,490,43.9,5,5.5,5.0,-0.5,51,190,37,4,258,2023
FC Copenhagen,25,6.0,1950,2478,78.7,34295,11982,866,1006,86.1,826,937,88.2,199,395,50.4,1,3.5,3.3,-2.5,38,127,27,6,142,2023
Inter,22,13.0,4784,6011,79.6,91946,34311,1943,2202,88.2,2179,2534,86.0,599,1002,59.8,17,14.3,13.4,+2.7,123,336,93,32,440,2023
Juventus,26,6.0,2553,3100,82.4,47736,16403,1039,1173,88.6,1132,1291,87.7,322,485,66.4,8,7.0,4.9,+1.0,58,239,48,15,277,2023
Leverkusen,20,6.0,2663,3241,82.2,45432,16050,1277,1436,88.9,1104,1246,88.6,227,407,55.8,4,6.3,6.1,-2.3,60,208,55,9,260,2023
