Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Année édition
Ajax,19,26.4,6,540,90,100,6.0,66,83,39,26,16,44,1.00,11,16,-5,-0.83,8.3,12.2,-3.9,-0.65,2023
Atlético Madrid,22,28.6,6,540,90,100,6.0,66,79,41,26,28,37,0.83,5,9,-4,-0.67,9.5,9.8,-0.3,-0.05,2023
Barcelona,26,26.4,6,540,90,100,6.0,66,81,38,28,22,36,1.17,12,12,0,0.00,9.9,9.3,+0.6,+0.10,2023
Bayern Munich,24,26.6,10,900,90,100,10.0,110,80,62,47,24,49,2.50,22,6,+16,+1.60,19.4,10.9,+8.4,+0.84,2023
Benfica,24,26.0,10,900,90,100,10.0,110,84,70,40,16,80,2.10,26,13,+13,+1.30,19.2,11.0,+8.2,+0.82,2023
Celtic,22,26.0,6,540,90,100,6.0,66,80,37,29,23,39,0.33,4,15,-11,-1.83,9.2,10.9,-1.7,-0.29,2023
Chelsea,26,26.9,10,900,90,100,10.0,110,81,64,45,21,67,1.60,12,9,+3,+0.30,16.2,10.7,+5.5,+0.55,2023
Club Brugge,25,26.3,8,720,90,100,8.0,88,84,57,30,17,44,1.38,8,11,-3,-0.37,8.0,16.9,-8.9,-1.12,2023
Dinamo Zagreb,20,26.9,6,540,90,100,6.0,66,84,40,26,14,45,0.67,4,11,-7,-1.17,4.2,12.5,-8.3,-1.39,2023
Dortmund,26,26.0,8,720,90,100,8.0,88,82,54,34,22,48,1.50,11,7,+4,+0.50,10.5,11.4,-0.9,-0.12,2023
Eint Frankfurt,22,26.1,8,720,90,100,8.0,88,82,52,34,18,45,1.25,7,13,-6,-0.75,8.0,12.9,-4.9,-0.61,2023
FC Copenhagen,25,24.6,6,540,90,100,6.0,66,83,39,26,19,37,0.50,1,12,-11,-1.83,4.8,11.2,-6.4,-1.06,2023
