Round,Wk,Day,Date,Time,Home,xG-H,Score,xG-A,Away,Attendance,Venue,Referee,Match Report,Notes,Année édition
Group stage,1,Tue,2022-09-06,18:45 ,Dinamo Zagreb,0.6,1–0,0.9,Chelsea,"20,607",Stadion Maksimir,István Kovács,Match Report,,2023
Group stage,1,Tue,2022-09-06,18:45 ,Dortmund,2.3,3–0,0.5,FC Copenhagen,"70,700",Signal Iduna Park,François Letexier,Match Report,,2023
Group stage,1,Tue,2022-09-06,20:00 ,Celtic,1.4,0–3,1.9,Real Madrid,"57,057",Celtic Park,Sandro Schärer,Match Report,,2023
Group stage,1,Tue,2022-09-06,20:00 ,Benfica,1.1,2–0,0.2,Maccabi Haifa,"55,130",Estádio do Sport Lisboa e Benfica,Andreas Ekberg,Match Report,,2023
Group stage,1,Tue,2022-09-06,21:00 ,RB Salzburg,1.3,1–1,0.9,Milan,"29,520",Red Bull Arena,Srđan Jovanović,Match Report,,2023
Group stage,1,Tue,2022-09-06,21:00 ,Sevilla,0.3,0–4,3.6,Manchester City,"38,764",Estadio Ramón Sánchez Pizjuán,Davide Massa,Match Report,,2023
Group stage,1,Tue,2022-09-06,21:00 ,RB Leipzig,1.4,1–4,0.9,Shakhtar,"41,591",Red Bull Arena,João Pinheiro,Match Report,,2023
Group stage,1,Tue,2022-09-06,21:00 ,Paris S-G,1.7,2–1,1.0,Juventus,"47,415",Parc des Princes,Anthony Taylor,Match Report,,2023
Group stage,1,Wed,2022-09-07,18:45 ,Ajax,2.1,4–0,0.1,Rangers,"52,862",Johan Cruyff ArenA,Tobias Stieler,Match Report,,2023
Group stage,1,Wed,2022-09-07,18:45 ,Eint Frankfurt,0.8,0–3,0.9,Sporting CP,"50,500",Deutsche Bank Park,Orel Grinfeeld,Match Report,,2023
Group stage,1,Wed,2022-09-07,20:00 ,Tottenham,1.5,2–0,0.4,Marseille,"57,367",Tottenham Hotspur Stadium,Slavko Vinčič,Match Report,,2023
Group stage,1,Wed,2022-09-07,21:00 ,Napoli,4.0,4–1,1.0,Liverpool,"51,793",Stadio Diego Armando Maradona,Carlos del Cerro,Match Report,,2023
Group stage,1,Wed,2022-09-07,21:00 ,Atlético Madrid,0.8,2–1,2.0,Porto,"51,777",Estadio Cívitas Metropolitano,Szymon Marciniak,Match Report,,2023
Group stage,1,Wed,2022-09-07,21:00 ,Barcelona,2.3,5–1,0.8,Viktoria Plzeň,"77,411",Camp Nou,Lawrence Visser,Match Report,,2023
Group stage,1,Wed,2022-09-07,21:00 ,Inter,0.7,0–2,2.5,Bayern Munich,"58,951",Stadio Giuseppe Meazza,Clément Turpin,Match Report,,2023
Group stage,1,Wed,2022-09-07,21:00 ,Club Brugge,0.5,1–0,1.0,Leverkusen,"21,235",Jan Breydelstadion,Irfan Peljto,Match Report,,2023
