Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Année édition
Ajax,19,6.0,110,18.33,93,8,2,4,2,1,20,3.33,16,1,1,1,1,0,2023
Atlético Madrid,22,6.0,168,28.00,128,9,6,13,6,6,7,1.17,6,0,0,1,0,0,2023
Barcelona,26,6.0,166,27.67,129,10,9,5,6,7,23,3.83,20,1,0,1,0,1,2023
Bayern Munich,24,10.0,302,30.20,238,12,24,15,9,4,39,3.90,30,2,4,3,0,0,2023
Benfica,24,10.0,254,25.40,195,12,18,10,16,3,47,4.70,31,1,5,1,6,3,2023
Celtic,22,6.0,141,23.50,109,10,8,8,3,3,5,0.83,3,0,0,1,1,0,2023
Chelsea,26,10.0,283,28.30,211,26,11,20,13,2,20,2.00,17,0,1,1,1,0,2023
Club Brugge,25,8.0,117,14.63,79,9,10,5,9,5,15,1.87,10,1,3,0,1,0,2023
Dinamo Zagreb,20,6.0,100,16.67,88,5,0,4,3,0,8,1.33,8,0,0,0,0,0,2023
Dortmund,26,8.0,169,21.12,130,8,16,10,4,1,21,2.62,15,1,4,1,0,0,2023
Eint Frankfurt,22,8.0,129,16.12,96,12,6,6,6,3,12,1.50,10,1,0,1,0,0,2023
FC Copenhagen,25,6.0,90,15.00,65,9,3,6,6,1,1,0.17,1,0,0,0,0,0,2023
Inter,22,13.0,281,21.62,203,32,10,24,9,3,35,2.69,27,3,3,2,0,0,2023
Juventus,26,6.0,140,23.33,107,12,6,11,4,0,16,2.67,9,4,0,2,1,0,2023
Leverkusen,20,6.0,143,23.83,111,7,9,9,3,4,8,1.33,7,0,0,0,0,1,2023
Liverpool,25,8.0,222,27.75,165,24,10,15,6,2,31,3.87,21,3,1,4,2,0,2023
Maccabi Haifa,20,6.0,140,23.33,101,8,12,8,6,5,13,2.17,9,1,1,0,1,1,2023
Manchester City,23,13.0,365,28.08,278,29,20,21,13,4,52,4.00,36,2,3,8,2,1,2023
Marseille,19,6.0,139,23.17,97,19,5,9,8,1,11,1.83,7,2,0,1,1,0,2023
Milan,23,12.0,242,20.17,177,17,13,20,11,4,25,2.08,17,2,2,1,3,0,2023
Napoli,22,10.0,315,31.50,221,27,22,21,12,12,47,4.70,33,2,4,5,1,2,2023
Paris S-G,21,8.0,179,22.37,138,11,9,7,13,1,28,3.50,25,0,2,0,1,0,2023
Porto,24,8.0,193,24.12,146,15,3,19,8,2,18,2.25,12,1,1,2,2,0,2023
Rangers,22,6.0,70,11.67,47,5,6,6,6,0,4,0.67,3,0,0,0,1,0,2023
RB Leipzig,22,8.0,156,19.50,127,10,6,7,5,1,21,2.62,17,1,1,2,0,0,2023
RB Salzburg,19,6.0,134,22.33,99,9,7,11,5,3,9,1.50,5,0,2,0,1,1,2023
Real Madrid,22,12.0,335,27.92,257,22,24,15,13,4,45,3.75,31,3,5,3,3,0,2023
Sevilla,24,6.0,119,19.83,89,10,4,11,4,1,9,1.50,4,3,0,1,1,0,2023
Shakhtar,20,6.0,80,13.33,70,4,0,3,1,2,14,2.33,14,0,0,0,0,0,2023
