Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Année édition
Ajax,19,6.0,11,64,22,34.4,10.67,3.67,0.16,0.45,17.6,0,1,1,8.3,7.5,0.12,+2.7,+2.5,2023
Atlético Madrid,22,6.0,4,95,34,35.8,15.83,5.67,0.04,0.12,18.5,4,0,2,9.5,7.8,0.08,-5.5,-3.8,2023
Barcelona,26,6.0,12,90,33,36.7,15.00,5.50,0.13,0.36,16.7,2,0,0,9.9,9.9,0.11,+2.1,+2.1,2023
Bayern Munich,24,10.0,21,167,72,43.1,16.70,7.20,0.12,0.28,18.2,8,1,1,19.4,18.6,0.11,+1.6,+1.4,2023
Benfica,24,10.0,25,133,48,36.1,13.30,4.80,0.15,0.42,17.3,6,5,5,19.2,15.3,0.12,+5.8,+4.7,2023
Celtic,22,6.0,3,82,29,35.4,13.67,4.83,0.04,0.10,18.1,1,0,1,9.2,8.4,0.10,-6.2,-5.4,2023
Chelsea,26,10.0,12,152,51,33.6,15.20,5.10,0.07,0.20,16.5,6,2,2,16.2,14.6,0.10,-4.2,-4.6,2023
Club Brugge,25,8.0,8,67,20,29.9,8.37,2.50,0.10,0.35,19.3,1,1,2,8.0,6.4,0.10,0.0,+0.6,2023
Dinamo Zagreb,20,6.0,4,55,20,36.4,9.17,3.33,0.07,0.20,20.3,2,0,0,4.2,4.2,0.08,-0.2,-0.2,2023
Dortmund,26,8.0,11,97,27,27.8,12.12,3.38,0.11,0.41,18.5,4,0,0,10.5,10.5,0.11,+0.5,+0.5,2023
Eint Frankfurt,22,8.0,7,75,26,34.7,9.37,3.25,0.08,0.23,18.1,2,1,1,8.0,7.3,0.10,-1.0,-1.3,2023
FC Copenhagen,25,6.0,1,54,16,29.6,9.00,2.67,0.02,0.06,17.8,3,0,0,4.8,4.8,0.09,-3.8,-3.8,2023
Inter,22,13.0,19,166,62,37.3,12.77,4.77,0.11,0.29,16.6,2,1,1,17.9,17.5,0.11,+1.1,+0.5,2023
Juventus,26,6.0,9,78,25,32.1,13.00,4.17,0.12,0.36,16.8,0,0,0,8.6,8.6,0.13,+0.4,+0.4,2023
Leverkusen,20,6.0,4,81,27,33.3,13.50,4.50,0.05,0.15,18.5,1,0,2,9.0,7.4,0.10,-5.0,-3.4,2023
Liverpool,25,8.0,19,126,55,43.7,15.75,6.87,0.14,0.33,16.0,4,1,1,14.7,13.9,0.11,+4.3,+4.1,2023
Maccabi Haifa,20,6.0,7,76,21,27.6,12.67,3.50,0.08,0.29,20.7,4,1,1,6.4,5.6,0.07,+0.6,+0.4,2023
Manchester City,23,13.0,31,196,85,43.4,15.08,6.54,0.15,0.34,17.2,4,2,5,26.5,22.6,0.12,+4.5,+6.4,2023
Marseille,19,6.0,8,79,23,29.1,13.17,3.83,0.09,0.30,19.0,4,1,1,8.6,7.9,0.10,-0.6,-0.9,2023
Milan,23,12.0,14,135,42,31.1,11.25,3.50,0.09,0.29,17.5,3,2,3,16.5,14.1,0.11,-2.5,-2.1,2023
Napoli,22,10.0,26,167,63,37.7,16.70,6.30,0.13,0.35,16.7,2,4,8,25.2,19.1,0.12,+0.8,+2.9,2023
Paris S-G,21,8.0,15,99,41,41.4,12.38,5.12,0.14,0.34,17.6,8,1,1,10.8,10.0,0.10,+4.2,+4.0,2023
Porto,24,8.0,12,111,38,34.2,13.87,4.75,0.08,0.24,16.5,1,3,3,15.2,12.9,0.12,-3.2,-3.9,2023
Rangers,22,6.0,2,43,10,23.3,7.17,1.67,0.02,0.10,17.6,2,1,1,4.9,4.1,0.10,-2.9,-3.1,2023
RB Leipzig,22,8.0,13,88,34,38.6,11.00,4.25,0.15,0.38,15.8,3,0,0,11.7,11.7,0.13,+1.3,+1.3,2023
RB Salzburg,19,6.0,5,84,27,32.1,14.00,4.50,0.05,0.15,19.1,3,1,1,8.3,7.5,0.09,-3.3,-3.5,2023
Real Madrid,22,12.0,26,184,74,40.2,15.33,6.17,0.13,0.31,17.6,5,3,3,22.3,20.5,0.12,+3.7,+2.5,2023
Sevilla,24,6.0,6,68,24,35.3,11.33,4.00,0.09,0.25,17.5,2,0,0,5.4,5.4,0.08,+0.6,+0.6,2023
Shakhtar,20,6.0,8,45,15,33.3,7.50,2.50,0.18,0.53,19.9,1,0,0,3.7,3.7,0.08,+4.3,+4.3,2023
Sporting CP,25,6.0,8,45,21,46.7,7.50,3.50,0.18,0.38,18.5,1,0,0,3.8,3.8,0.09,+4.2,+4.2,2023
Tottenham,25,8.0,8,95,29,30.5,11.87,3.62,0.07,0.24,17.3,4,1,2,10.0,8.4,0.09,-2.0,-1.4,2023
Viktoria Plzeň,22,6.0,5,67,19,28.4,11.17,3.17,0.06,0.21,18.9,0,1,1,5.5,4.8,0.07,-0.5,-0.8,2023
Ajax,21,8.0,21,128,48,37.5,16.00,6.00,0.16,0.42,15.6,1,1,1,19.0,18.2,0.14,+2.0,+1.8,2022
Atalanta,21,6.0,12,82,31,37.8,13.67,5.17,0.15,0.39,18.0,3,0,0,10.2,10.2,0.13,+1.8,+1.8,2022
Atlético Madrid,22,10.0,9,95,25,26.3,9.50,2.50,0.08,0.32,17.9,4,1,1,12.2,11.4,0.13,-3.2,-3.4,2022
